日期,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
8月2日,154.76,207.71,7.1,"647,344","1,528,344","-881,000","1,301,040","2,829,384"
8月3日,154.74,207.564,50.2,"3,145,380","1,528,380","1,617,000","1,468,080","2,996,460"
8月4日,155,209.518,2.7,"2,429,832","1,544,832","885,000","1,369,080","2,913,912"
8月5日,155.02,209.635,0.1,"1,378,760","1,526,760","-148,000","1,306,440","2,833,200"
8月6日,154.99,209.38,0,"1,001,280","1,664,280","-663,000","1,193,400","2,857,680"
8月7日,154.88,208.621,0,"847,116","1,657,116","-810,000","1,105,920","2,763,036"
8月8日,154.76,207.716,0,"725,280","1,826,280","-1,101,000","1,067,040","2,893,320"
8月9日,154.6,206.563,0,"655,352","1,826,352","-1,171,000","1,026,000","2,852,352"
8月10日,154.42,205.228,3.1,"588,484","1,829,484","-1,241,000","1,081,440","2,910,924"
8月11日,154.28,204.173,0.2,"576,664","1,667,664","-1,091,000","1,129,680","2,797,344"
8月12日,154.12,203.024,0,"575,872","1,954,872","-1,379,000","1,038,240","2,993,112"
8月13日,153.93,201.658,4.3,"537,852","1,839,852","-1,302,000","996,480","2,836,332"
8月14日,153.75,200.338,0,"467,044","1,549,044","-1,082,000","938,880","2,487,924"
8月15日,153.52,198.686,0,"385,192","1,680,192","-1,295,000","874,800","2,554,992"
8月16日,153.33,197.361,1.6,"510,652","2,444,652","-1,934,000","853,200","3,297,852"
8月17日,153.08,195.555,1.2,"458,164","2,455,164","-1,997,000","838,080","3,293,244"
8月18日,152.84,193.835,0.1,"355,092","1,564,092","-1,209,000","825,120","2,389,212"
8月19日,152.57,191.955,0.1,"414,404","2,467,404","-2,053,000","792,000","3,259,404"
8月20日,152.29,189.944,0,"400,460","2,303,460","-1,903,000","760,320","3,063,780"
8月21日,152.01,187.985,4.3,"378,668","2,482,668","-2,104,000","740,160","3,222,828"
8月22日,151.77,186.275,33.8,"1,357,968","2,335,968","-978,000","1,215,360","3,551,328"
8月23日,151.67,185.603,2.9,"1,105,968","1,732,968","-627,000","1,205,280","2,938,248"
8月24日,151.51,184.481,0,"525,336","2,193,336","-1,668,000","935,280","3,128,616"
8月25日,151.26,182.742,0,"593,980","2,530,980","-1,937,000","840,240","3,371,220"
8月26日,151.05,181.322,5.4,"462,276","1,290,276","-828,000","1,235,880","2,526,156"
8月27日,150.98,180.842,40.4,"1,598,424","1,115,424","483,000","2,230,200","3,345,624"
8月28日,151.17,182.13,0.2,"1,381,000",0,"1,381,000","2,185,200","2,185,200"
8月29日,151.26,182.77,1.3,"829,292","1,589,292","-760,000","1,620,360","3,209,652"
8月30日,151.16,182.023,0.5,"686,724","1,445,724","-759,000","1,401,840","2,847,564"
8月31日,151.02,181.064,21.6,"582,896","1,615,896","-1,033,000","1,272,240","2,888,136"
9月1日,150.98,180.848,15.4,"1,941,532","1,115,532","826,000","1,530,720","2,646,252"
9月2日,151.06,181.316,10.2,"1,282,884","1,420,884","-138,000","1,418,400","2,839,284"
9月3日,151.04,181.201,0.1,"1,215,244","1,421,244","-206,000","1,254,240","2,675,484"
9月4日,150.97,180.73,0.1,"940,068","1,903,068","-963,000","1,134,000","3,037,068"
9月5日,150.81,179.605,0.1,"673,776","1,906,776","-1,233,000","1,065,600","2,972,376"
9月6日,150.63,178.379,0,"641,740","1,735,740","-1,094,000","986,040","2,721,780"
9月7日,150.43,177.022,0,"549,536","2,047,536","-1,498,000","921,960","2,969,496"
9月8日,150.24,175.669,0.3,"506,940","2,066,940","-1,560,000","902,160","2,969,100"
9月9日,149.99,174.031,3.8,"563,796","1,778,796","-1,215,000","878,760","2,657,556"
9月10日,149.81,172.804,0.3,"516,252","2,061,252","-1,545,000","874,080","2,935,332"
9月11日,149.57,171.198,0,"463,236","2,068,236","-1,605,000","1,048,320","3,116,556"
9月12日,149.4,170.123,27.1,"1,295,028","827,028","468,000","1,830,240","2,657,268"
9月13日,149.49,170.71,3.3,"890,192","690,192","200,000","1,918,440","2,608,632"
9月14日,149.48,170.588,0.7,"757,508","1,625,508","-868,000","1,409,472","3,034,980"
9月15日,149.34,169.659,3.8,"472,816","1,137,816","-665,000","1,485,360","2,623,176"
9月16日,149.18,168.65,0.2,"476,920","1,141,920","-665,000","1,589,760","2,731,680"
9月17日,149.08,167.967,0,"433,836","1,162,836","-729,000","1,612,080","2,774,916"
9月18日,148.95,167.109,0.4,"395,668","1,321,668","-926,000","1,396,800","2,718,468"
9月19日,148.81,166.17,15.8,"577,248","1,633,248","-1,056,000","1,326,960","2,960,208"
9月20日,148.75,165.775,29.6,"1,373,596","1,636,596","-263,000","1,499,760","3,136,356"
9月21日,148.77,165.915,2.3,"1,572,360","1,638,360","-66,000","1,431,000","3,069,360"
9月22日,148.72,165.525,0,"1,052,448","1,775,448","-723,000","1,314,720","3,090,168"
9月23日,148.57,164.519,0,"785,100","2,096,100","-1,311,000","1,207,800","3,303,900"
9月24日,148.37,163.255,6.9,"672,536","1,651,536","-979,000","1,144,800","2,796,336"
9月25日,148.23,162.309,3,"685,908","1,792,908","-1,107,000","1,289,520","3,082,428"
9月26日,148.06,161.237,8.4,"801,840","1,968,840","-1,167,000","1,223,280","3,192,120"
9月27日,147.91,160.275,20.7,"1,151,400","1,022,400","129,000","1,242,720","2,265,120"
9月28日,148,160.869,22.6,"2,364,392","1,651,392","713,000","1,596,240","3,247,632"
9月29日,148.19,162.159,3,"2,544,132","525,132","2,019,000","1,855,800","2,380,932"
9月30日,148.43,163.681,6.7,"1,866,784","1,016,784","850,000","1,690,200","2,706,984"
10月1日,148.51,164.194,0.2,"1,396,884","1,330,884","66,000","1,557,360","2,888,244"
10月2日,148.52,164.254,0.1,"962,416","700,416","262,000","1,429,200","2,129,616"
10月3日,148.55,164.347,2,"808,304","2,117,304","-1,309,000","1,322,640","3,439,944"
10月4日,148.27,162.627,0.2,"167,240","1,470,240","-1,303,000","1,241,280","2,711,520"
10月5日,148.18,161.6,21.3,"1,662,188","1,792,188","-130,000","1,304,280","3,096,468"
10月6日,148.19,162.116,2.6,"1,871,816","1,155,816","716,000","1,528,560","2,684,376"
10月7日,148.25,162.48,0.7,"1,338,944","1,468,944","-130,000","1,422,000","2,890,944"
10月8日,148.2,162.151,5.7,"1,184,168","1,965,168","-781,000","1,339,200","3,304,368"
10月9日,148.11,161.573,15.9,"1,417,220","1,157,220","260,000","1,554,120","2,711,340"
10月10日,148.19,162.118,6,"1,368,000",0,"1,368,000","1,757,520","1,757,520"
10月11日,148.39,163.424,30.8,"1,881,768","834,768","1,047,000","2,155,680","2,990,448"
10月12日,148.88,166.765,13.8,"5,348,000",0,"5,348,000","3,327,480","3,327,480"
10月13日,149.78,172.892,49.9,"9,249,000",0,"9,249,000","12,186,000","12,186,000"
10月14日,151.4,183.855,4.4,"8,930,000",0,"8,930,000","10,638,000","10,638,000"
10月15日,152.24,189.658,14.5,"4,365,000",0,"4,365,000","9,439,200","9,439,200"
10月16日,152.83,193.935,50.1,"5,628,000",0,"5,628,000","14,662,800","14,662,800"
10月17日,153.97,202.098,13,"8,107,000",0,"8,107,000","12,823,200","12,823,200"
10月18日,154.87,208.708,30.9,"6,779,000",0,"6,779,000","11,376,000","11,376,000"
10月19日,155.89,216.226,7.7,"7,062,000",0,"7,062,000","11,430,000","11,430,000"
10月20日,156.62,221.747,7.3,"4,431,000",0,"4,431,000","9,986,400","9,986,400"
10月21日,157.15,225.866,36.2,"5,190,000",0,"5,190,000","15,519,600","15,519,600"
10月22日,158.19,234.084,25.8,"9,542,000",0,"9,542,000","19,231,200","19,231,200"
10月23日,159.25,242.483,24.9,"7,874,000",0,"7,874,000","16,750,800","16,750,800"
