日期,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
1月1日,167.64,313.631,18.9,"7,543,380","3,796,380","3,747,000","6,307,200","10,103,580"
1月2日,167.76,314.587,16.8,"6,572,620","6,661,620","-89,000","6,316,200","12,977,820"
1月3日,167.77,314.699,18.4,"7,019,088","6,662,088","357,000","6,793,200","13,455,288"
1月4日,167.84,315.378,6.7,"7,374,848","6,658,848","716,000","6,391,800","13,050,648"
1月5日,167.75,314.506,1,"4,338,772","6,662,772","-2,324,000","5,221,800","11,884,572"
1月6日,167.43,311.624,14.8,"3,551,944","6,670,944","-3,119,000","4,417,200","11,088,144"
1月7日,167.32,310.651,3.1,"2,980,740","3,247,740","-267,000","3,988,800","7,236,540"
1月8日,167.28,310.336,6.9,"2,801,220","3,245,220","-444,000","3,531,600","6,776,820"
1月9日,167.24,309.991,8.3,"3,158,704","3,247,704","-89,000","3,186,000","6,433,704"
1月10日,167.27,310.251,0.5,"3,601,732","3,246,732","355,000","3,108,600","6,355,332"
1月11日,167.24,309.98,0.2,"2,452,052","3,251,052","-799,000","2,946,600","6,197,652"
1月12日,167.12,308.862,2.4,"1,832,824","3,253,824","-1,421,000","2,651,400","5,905,224"
1月13日,166.94,307.305,3.9,"1,663,792","3,258,792","-1,595,000","2,415,600","5,674,392"
1月14日,166.76,305.643,2.3,"1,497,568","3,266,568","-1,769,000","2,307,600","5,574,168"
1月15日,166.55,303.841,8.9,"1,503,440","3,268,440","-1,765,000","2,161,800","5,430,240"
1月16日,166.4,302.473,25.9,"2,566,932","3,271,932","-705,000","2,770,200","6,042,132"
1月17日,166.38,302.33,9.6,"3,358,888","3,270,888","88,000","3,108,600","6,379,488"
1月18日,166.35,302.106,0,"2,569,884","3,274,884","-705,000","2,844,000","6,118,884"
1月19日,166.25,301.225,0,"1,782,128","1,870,128","-88,000","2,521,800","4,391,928"
1月20日,166.25,301.214,11.4,"1,519,344","1,870,344","-351,000","2,341,800","4,212,144"
1月21日,166.25,301.229,15,"2,221,776","1,870,776","351,000","3,009,600","4,880,376"
1月22日,166.29,301.592,3.2,"2,134,336","1,869,336","265,000","2,768,400","4,637,736"
1月23日,166.3,301.621,0,"1,691,580","1,868,580","-177,000","2,488,320","4,356,900"
1月24日,166.27,301.335,0,"1,517,228","1,869,228","-352,000","2,199,600","4,068,828"
1月25日,166.21,300.837,0.1,"1,130,972","1,305,972","-175,000","2,077,920","3,383,892"
1月26日,166.18,300.587,0.3,"957,140","1,309,140","-352,000","1,927,080","3,236,220"
1月27日,166.14,300.203,0,"868,736","1,307,736","-439,000","1,817,640","3,125,376"
1月28日,166.08,299.715,0,"867,484","1,307,484","-440,000","1,603,800","2,911,284"
1月29日,166.02,299.185,2.3,"696,940","1,310,940","-614,000","1,505,880","2,816,820"
1月30日,165.95,298.599,0.1,"697,632","1,312,632","-615,000","1,441,080","2,753,712"
1月31日,165.88,297.956,0.9,"700,424","1,313,424","-613,000","1,391,760","2,705,184"
2月1日,165.8,297.233,3.6,"651,796","1,877,796","-1,226,000","1,359,360","3,237,156"
2月2日,165.67,296.098,0,"615,836","1,315,836","-700,000","1,301,400","2,617,236"
