日期,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2月3日,165.58,295.315,0,"623,492","1,758,492","-1,135,000","1,254,960","3,013,452"
2月4日,165.45,294.224,7.4,"620,276","1,317,276","-697,000","1,212,840","2,530,116"
2月5日,165.37,293.523,1.3,"620,240","1,317,240","-697,000","1,194,840","2,512,080"
2月6日,165.29,292.797,0,"535,140","1,318,140","-783,000","1,158,840","2,476,980"
2月7日,165.2,292.04,0.3,"538,048","1,320,048","-782,000","1,135,080","2,455,128"
2月8日,165.11,291.215,1.9,"563,520","1,604,520","-1,041,000","1,131,840","2,736,360"
2月9日,164.99,290.181,2.1,"531,532","1,484,532","-953,000","1,105,200","2,589,732"
2月10日,164.88,289.213,1.7,"484,624","1,608,624","-1,124,000","1,079,280","2,687,904"
2月11日,164.76,288.194,2.9,"648,668","1,771,668","-1,123,000","1,045,440","2,817,108"
2月12日,164.63,287.061,2.7,"778,496","1,898,496","-1,120,000","1,030,320","2,928,816"
2月13日,164.5,285.962,0.4,"777,732","1,896,732","-1,119,000","1,019,160","2,915,892"
2月14日,164.37,284.832,0.3,"746,608","1,777,608","-1,031,000","999,360","2,776,968"
2月15日,164.24,283.734,0,"703,932","1,903,932","-1,200,000","919,440","2,823,372"
2月16日,164.1,282.483,2.3,"620,400","1,904,400","-1,284,000","838,080","2,742,480"
2月17日,163.95,281.214,5.1,"626,828","1,908,828","-1,282,000","838,080","2,746,908"
2月18日,163.82,280.15,9.6,"1,143,484","1,910,484","-767,000","895,680","2,806,164"
2月19日,163.75,279.528,0.2,"1,228,844","1,910,844","-682,000","888,840","2,799,684"
2月20日,163.65,278.65,0.1,"892,688","1,913,688","-1,021,000","818,640","2,732,328"
2月21日,163.52,277.59,0.7,"804,116","1,909,116","-1,105,000","803,520","2,712,636"
2月22日,163.4,276.518,1.1,"729,568","1,916,568","-1,187,000","784,800","2,701,368"
2月23日,163.24,275.206,2.2,"648,764","1,918,764","-1,270,000","757,440","2,676,204"
2月24日,163.15,274.462,45.9,"2,020,160","1,343,160","677,000","1,213,200","2,556,360"
2月25日,163.3,275.754,1.8,"2,443,188","1,342,188","1,101,000","1,404,720","2,746,908"
2月26日,163.37,276.323,0.4,"1,661,920","1,915,920","-254,000","1,087,200","3,003,120"
2月27日,163.32,275.916,0,"1,341,432","1,341,432",0,"972,000","2,313,432"
2月28日,163.3,275.655,0.4,"1,070,540","1,917,540","-847,000","940,320","2,857,860"
3月1日,163.19,274.78,0.2,"870,168","1,632,168","-762,000","877,320","2,509,488"
3月2日,163.1,274.004,0.1,"866,500","1,795,500","-929,000","855,360","2,650,860"
3月3日,162.99,273.096,5.2,"838,600","1,344,600","-506,000","843,480","2,188,080"
3月4日,162.89,272.213,0,"948,896","2,128,896","-1,180,000","833,760","2,962,656"
3月5日,162.73,270.904,0.3,"779,736","2,126,736","-1,347,000","802,800","2,929,536"
3月6日,162.58,269.632,8.2,"870,280","1,961,280","-1,091,000","766,800","2,728,080"
3月7日,162.57,269.583,39,"1,764,000",0,"1,764,000","1,708,560","1,708,560"
3月8日,162.9,272.449,22.1,"3,712,000",0,"3,712,000","3,222,360","3,222,360"
3月9日,163.4,276.692,31.8,"4,756,000",0,"4,756,000","3,627,000","3,627,000"
3月10日,164.01,281.917,7.6,"4,962,000",0,"4,962,000","5,090,400","5,090,400"
3月11日,164.46,285.661,0,"2,840,000",0,"2,840,000","3,589,200","3,589,200"
3月12日,164.72,287.924,0.3,"1,813,000",0,"1,813,000","2,592,000","2,592,000"
3月13日,164.9,289.441,2.7,"1,299,000",0,"1,299,000","2,197,440","2,197,440"
3月14日,165.01,290.502,0.2,"1,244,332","811,332","433,000","2,004,120","2,815,452"
3月15日,165,290.289,2.5,"1,133,716","2,173,716","-1,040,000","1,858,320","4,032,036"
3月16日,164.85,288.961,0.1,"967,280","2,177,280","-1,210,000","1,562,400","3,739,680"
3月17日,164.71,287.755,7.5,"1,055,936","2,178,936","-1,123,000","1,405,440","3,584,376"
3月18日,164.59,286.712,2.9,"1,233,996","2,181,996","-948,000","1,335,240","3,517,236"
3月19日,164.48,285.797,0.3,"1,155,800","2,188,800","-1,033,000","1,274,400","3,463,200"
3月20日,164.35,284.65,0,"984,576","2,187,576","-1,203,000","1,212,840","3,400,416"
3月21日,164.2,283.387,0.1,"903,484","2,189,484","-1,286,000","1,171,800","3,361,284"
3月22日,164.04,282.052,1.9,"823,408","2,193,408","-1,370,000","1,123,200","3,316,608"
3月23日,163.89,280.684,5.5,"828,488","2,194,488","-1,366,000","1,134,000","3,328,488"
3月24日,163.74,279.418,5.9,"918,332","2,197,332","-1,279,000","1,297,080","3,494,412"
3月25日,163.59,278.179,5.7,"1,011,012","2,202,012","-1,191,000","1,288,080","3,490,092"
3月26日,163.45,276.939,0.3,"845,820","2,204,820","-1,359,000","1,247,760","3,452,580"
3月27日,163.28,275.56,0,"852,060","2,208,060","-1,356,000","1,127,880","3,335,940"
3月28日,163.12,274.131,0,"773,372","2,211,372","-1,438,000","1,075,680","3,287,052"
3月29日,162.94,272.674,7.8,"851,748","2,285,748","-1,434,000","1,019,520","3,305,268"
3月30日,162.79,271.371,2.7,"952,728","2,215,728","-1,263,000","1,198,080","3,413,808"
3月31日,162.62,269.947,3.8,"701,460","2,213,460","-1,512,000","1,073,520","3,286,980"
4月1日,162.46,268.597,13.9,"1,043,528","2,217,528","-1,174,000","1,333,440","3,550,968"
4月2日,162.32,267.477,0.4,"1,130,176","2,218,176","-1,088,000","1,375,560","3,593,736"
4月3日,162.19,266.323,0.3,"1,043,208","2,213,208","-1,170,000","1,320,480","3,533,688"
4月4日,162.04,265.113,2.3,"976,752","2,227,752","-1,251,000","1,230,120","3,457,872"
4月5日,161.89,263.859,0.3,"862,788","2,110,788","-1,248,000","1,150,920","3,261,708"
4月6日,161.74,262.567,0,"787,692","2,116,692","-1,329,000","1,103,760","3,220,452"
4月7日,161.57,261.208,0,"709,860","2,119,860","-1,410,000","1,040,400","3,160,260"
4月8日,161.4,259.807,0,"718,108","2,124,108","-1,406,000","992,880","3,116,988"
4月9日,161.23,258.347,0,"642,564","2,127,564","-1,485,000","929,520","3,057,084"
4月10日,161.05,256.866,1.4,"564,040","2,129,040","-1,565,000","892,080","3,021,120"
4月11日,160.87,255.406,11.7,"706,188","1,855,188","-1,149,000","909,720","2,764,908"
4月12日,160.74,254.319,4.3,"718,096","1,866,096","-1,148,000","949,680","2,815,776"
4月13日,160.6,253.207,11.8,"805,472","1,868,472","-1,063,000","1,173,960","3,042,432"
4月14日,160.47,252.137,4.9,"796,032","1,858,032","-1,062,000","1,028,520","2,886,552"
4月15日,160.35,251.127,6.4,"796,340","1,856,340","-1,060,000","1,201,680","3,058,020"
4月16日,160.29,250.679,32.1,"2,360,784","1,871,784","489,000","1,686,600","3,558,384"
4月17日,160.36,251.256,0.4,"2,109,548","1,864,548","245,000","1,833,840","3,698,388"
4月18日,160.34,251.113,0,"1,457,988","1,865,988","-408,000","1,425,600","3,291,588"
4月19日,160.28,250.604,5.7,"1,229,928","1,880,928","-651,000","1,332,000","3,212,928"
4月20日,160.18,249.807,4.9,"1,053,860","1,867,860","-814,000","1,305,000","3,172,860"
4月21日,160.17,249.715,24.2,"2,084,456","1,596,456","488,000","1,964,160","3,560,616"
4月22日,160.18,249.817,6.5,"1,507,644","1,588,644","-81,000","1,619,640","3,208,284"
4月23日,160.16,249.604,0,"1,179,988","1,586,988","-407,000","1,528,560","3,115,548"
4月24日,160.1,249.13,0,"982,520","1,550,520","-568,000","1,390,320","2,940,840"
4月25日,160.02,248.476,0.5,"859,048","1,590,048","-731,000","1,283,040","2,873,088"
4月26日,159.92,247.699,1.6,"860,552","1,590,552","-730,000","1,218,240","2,808,792"
4月27日,159.82,246.858,18,"782,164","1,591,164","-809,000","1,233,360","2,824,524"
4月28日,159.8,246.743,1.2,"1,915,172","1,592,172","323,000","1,356,480","2,948,652"
4月29日,159.8,246.723,0,"1,190,080","1,594,080","-404,000","1,184,400","2,778,480"
4月30日,159.74,246.174,6.2,"1,028,332","1,594,332","-566,000","1,112,760","2,707,092"
5月1日,159.72,246.123,35.3,"2,321,792","1,593,792","728,000","2,045,160","3,638,952"
5月2日,159.88,247.401,45.2,"3,944,360","1,593,360","2,351,000","3,047,400","4,640,760"
5月3日,160.31,250.856,1.7,"5,608,808","3,818,808","1,790,000","3,988,800","7,807,608"
5月4日,160.38,251.487,2.6,"2,809,304","1,586,304","1,223,000","2,669,400","4,255,704"
5月5日,160.46,252.099,1.1,"1,420,316","1,583,316","-163,000","2,179,800","3,763,116"
5月6日,160.44,251.892,28.4,"2,527,092","3,832,092","-1,305,000","2,557,800","6,389,892"
5月7日,160.16,249.638,20.7,"5,407,600","6,708,600","-1,301,000","5,060,880","11,769,480"
5月8日,160.24,250.356,4.3,"3,540,384","1,587,384","1,953,000","4,532,400","6,119,784"
5月9日,160.39,251.464,20.6,"3,171,344","3,823,344","-652,000","3,895,200","7,718,544"
5月10日,160.34,251.046,2.5,"3,662,640","3,824,640","-162,000","4,579,200","8,403,840"
5月11日,160.31,250.91,1.1,"2,562,512","1,585,512","977,000","3,913,200","5,498,712"
5月12日,160.4,251.603,0.6,"1,993,260","1,585,260","408,000","3,470,400","5,055,660"
5月13日,160.42,251.759,0.2,"1,502,064","1,583,064","-81,000","3,081,600","4,664,664"
5月14日,160.4,251.565,0,"1,339,432","1,584,432","-245,000","2,558,880","4,143,312"
5月15日,160.35,251.164,5.5,"1,096,188","1,585,188","-489,000","2,309,760","3,894,948"
5月16日,160.29,250.652,3,"1,015,044","1,585,044","-570,000","2,120,760","3,705,804"
5月17日,160.26,250.492,36.5,"2,319,592","1,586,592","733,000","2,903,760","4,490,352"
5月18日,160.46,252.199,39.9,"4,862,908","1,756,908","3,106,000","4,937,400","6,694,308"
5月19日,160.64,253.49,1.9,"4,821,120","6,621,120","-1,800,000","4,915,800","11,536,920"
5月20日,160.37,251.31,36.7,"5,403,644","6,628,644","-1,225,000","4,482,000","11,110,644"
5月21日,160.49,252.392,0.1,"3,708,648","1,584,648","2,124,000","4,219,200","5,803,848"
5月22日,160.67,253.824,0,"2,398,284","1,579,284","819,000","3,018,600","4,597,884"
5月23日,160.73,254.326,3.5,"1,826,364","1,580,364","246,000","2,747,880","4,328,244"
5月24日,160.74,254.35,1.4,"1,417,336","1,581,336","-164,000","2,617,200","4,198,536"
5月25日,160.7,254.063,0,"1,251,932","1,579,932","-328,000","2,216,160","3,796,092"
5月26日,160.64,253.561,0,"1,007,832","1,580,832","-573,000","2,021,400","3,602,232"
5月27日,160.6,253.268,35.9,"2,070,824","1,579,824","491,000","2,627,640","4,207,464"
5月28日,160.74,254.36,21.1,"2,154,040","1,580,040","574,000","2,615,400","4,195,440"
5月29日,160.76,254.575,0,"1,906,996","1,578,996","328,000","2,409,480","3,988,476"
5月30日,160.77,254.651,1.1,"1,496,852","1,578,852","-82,000","2,165,040","3,743,892"
5月31日,160.77,254.63,23,"2,319,156","1,581,156","738,000","2,095,560","3,676,716"
6月1日,160.98,256.396,43.8,"6,058,476","1,855,476","4,203,000","2,082,240","3,937,716"
6月2日,161.77,262.91,4.9,"6,818,836","1,837,836","4,981,000","1,903,320","3,741,156"
6月3日,162.02,264.998,0,"3,402,524","3,985,524","-583,000","1,748,520","5,734,044"
6月4日,161.88,263.786,2.7,"2,275,620","3,772,620","-1,497,000","1,664,640","5,437,260"
6月5日,161.67,262.03,2,"1,790,296","3,781,296","-1,991,000","1,605,240","5,386,536"
6月6日,161.41,259.865,3,"1,475,540","3,789,540","-2,314,000","1,512,720","5,302,260"
6月7日,161.13,257.553,12.5,"1,576,304","3,800,304","-2,224,000","1,423,080","5,223,384"
6月8日,160.85,255.314,0.2,"1,430,908","3,808,908","-2,378,000","1,343,160","5,152,068"
6月9日,160.54,252.767,0,"1,129,072","3,825,072","-2,696,000","1,281,960","5,107,032"
6月10日,160.21,250.089,7.4,"1,150,928","3,833,928","-2,683,000","1,259,280","5,093,208"
6月11日,160.13,249.426,88.5,"8,647,740","3,841,740","4,806,000","3,081,600","6,923,340"
6月12日,160.69,254.008,37.6,"8,658,112","6,692,112","1,966,000","4,804,560","11,496,672"
6月13日,160.89,255.628,12.7,"7,509,548","6,688,548","821,000","4,296,600","10,985,148"
6月14日,161.07,257.076,37.7,"9,305,224","6,670,224","2,635,000","5,511,600","12,181,824"
6月15日,161.17,257.892,0,"5,320,228","6,639,228","-1,319,000","3,742,200","10,381,428"
6月16日,161.1,257.36,0,"2,973,056","3,796,056","-823,000","2,878,560","6,674,616"
6月17日,160.95,256.084,12.5,"2,408,912","3,804,912",-1396000,"2,775,600","6,580,512"
6月18日,160.76,254.511,5.3,"1,928,976","3,812,976","-1,884,000","2,623,320","6,436,296"
6月19日,160.51,252.478,0.1,"1,619,020","3,823,020","-2,204,000","2,275,200","6,098,220"
6月20日,160.22,250.133,0,"1,322,396","3,843,396","-2,521,000","2,048,400","5,891,796"
6月21日,159.72,246.063,0,"1,255,672","3,927,672","-2,672,000","1,852,200","5,779,872"
6月22日,159.56,244.828,0.4,"1,117,580","3,857,580","-2,740,000","1,735,560","5,593,140"
6月23日,159.23,242.114,17.1,"1,221,856","3,869,856","-2,648,000","1,696,680","5,566,536"
6月24日,158.94,239.819,11.4,"1,217,416","2,176,416","-959,000","1,777,320","3,953,736"
6月25日,158.84,239.037,11.6,"1,168,412","1,487,412","-319,000","1,894,320","3,381,732"
6月26日,158.8,238.651,7.1,"1,086,144","1,485,144","-399,000","2,226,600","3,711,744"
6月27日,158.74,238.246,2.7,"1,010,808","1,487,808","-477,000","2,331,720","3,819,528"
6月28日,158.69,237.775,2,"1,009,628","1,487,628","-478,000","1,977,480","3,465,108"
6月29日,158.61,237.199,1.8,"854,688","1,490,688","-636,000","2,154,240","3,644,928"
6月30日,158.53,236.53,0,"775,896","1,489,896","-714,000","2,187,360","3,677,256"
7月1日,158.43,235.78,18.1,"699,264","1,491,264","-792,000","1,815,480","3,306,744"
7月2日,158.4,235.509,37.8,"2,126,992","1,492,992","634,000","2,246,400","3,739,392"
7月3日,158.58,236.967,27.2,"4,033,544","1,490,544","2,543,000","3,213,720","4,704,264"
7月4日,158.92,239.702,0.2,"3,240,992","1,483,992","1,757,000","2,606,400","4,090,392"
7月5日,159.03,240.539,0,"1,803,632","1,483,632","320,000","2,200,320","3,683,952"
7月6日,159.04,240.579,0.2,"1,321,616","1,481,616","-160,000","1,963,440","3,445,056"
7月7日,159,240.275,0,"1,003,200","1,483,200","-480,000","1,854,360","3,337,560"
7月8日,158.94,239.775,10.8,"1,004,172","1,484,172","-480,000","1,714,320","3,198,492"
7月9日,158.88,239.332,0.1,"926,964","1,484,964","-558,000","1,571,760","3,056,724"
7月10日,158.81,238.711,0.8,"769,116","1,486,116","-717,000","1,487,520","2,973,636"
7月11日,158.73,238.11,19.7,"1,247,332","1,486,332","-239,000","1,563,120","3,049,452"
7月12日,158.77,238.478,27,"2,442,188","1,486,188","956,000","1,905,120","3,391,308"
7月13日,158.85,239.067,0.1,"1,325,360","1,485,360","-160,000","1,838,160","3,323,520"
7月14日,158.8,238.701,0.1,"1,008,080","1,486,080","-478,000","1,532,880","3,018,960"
7月15日,158.73,238.1,0,"770,152","1,486,152","-716,000","1,426,680","2,912,832"
7月16日,158.64,237.364,0,"693,600","1,488,600","-795,000","1,357,920","2,846,520"
7月17日,158.54,236.58,21.2,"853,996","1,488,996","-635,000","1,458,720","2,947,716"
7月18日,158.5,236.335,18.4,"1,730,236","1,492,236","238,000","1,808,280","3,300,516"
7月19日,158.56,236.801,11.4,"2,285,480","1,491,480","794,000","1,834,560","3,326,040"
7月20日,158.68,237.732,13.9,"2,281,648","1,485,648","796,000","1,529,280","3,014,928"
7月21日,158.75,238.283,8,"1,962,792","1,485,792","477,000","1,582,920","3,068,712"
7月22日,158.82,238.85,14.1,"2,122,676","1,484,676","638,000","1,705,680","3,190,356"
7月23日,158.91,239.656,39.5,"4,530,008","1,486,008","3,044,000","1,600,200","3,086,208"
7月24日,159.48,244.223,11.6,"4,919,516","1,455,516","3,464,000","2,107,080","3,562,596"
7月25日,159.71,245.978,2.7,"2,882,440","3,286,440","-404,000","1,832,400","5,118,840"
7月26日,159.64,245.409,7.1,"2,483,868","3,290,868","-807,000","1,823,760","5,114,628"
7月27日,159.5,244.259,1.4,"1,765,944","3,295,944","-1,530,000","1,685,520","4,981,464"
7月28日,159.28,242.498,0.7,"1,373,912","3,300,912","-1,927,000","1,537,920","4,838,832"
7月29日,159.07,240.799,0,"1,000,292","1,481,292","-481,000","1,452,240","2,933,532"
7月30日,158.99,240.215,0,"844,388","1,484,388","-640,000","1,354,320","2,838,708"
7月31日,158.9,239.502,0,"687,612","1,485,612","-798,000","1,285,200","2,770,812"
8月1日,158.8,238.688,0.8,"611,096","1,488,096","-877,000","1,208,160","2,696,256"
8月2日,158.7,237.832,1.3,"692,636","1,488,636","-796,000","1,167,120","2,655,756"
8月3日,158.58,236.917,0.1,"537,256","1,490,256","-953,000","1,137,600","2,627,856"
8月4日,158.46,235.975,15.4,"539,004","1,490,004","-951,000","1,095,120","2,585,124"
8月5日,158.37,235.216,13.4,"782,360","1,494,360","-712,000","1,329,480","2,823,840"
8月6日,158.24,234.133,1.4,"951,184","3,632,184","-2,681,000","1,254,240","4,886,424"
8月7日,157.62,229.263,30.4,"1,744,348","6,897,348","-5,153,000","1,348,560","8,245,908"
8月8日,157.07,225.088,75.2,"4,817,248","6,907,248","-2,090,000","5,430,600","12,337,848"
8月9日,158.59,237.489,98.9,"29,399,732","6,819,732","22,580,000","27,190,800","34,010,532"
8月10日,160.31,250.887,0.6,"7,341,428","2,704,428","4,637,000","18,097,200","20,801,628"
8月11日,160.55,252.849,0,"3,195,652","2,705,652","490,000","8,485,200","11,190,852"
8月12日,160.54,252.723,2.2,"2,211,440","2,701,440","-490,000","5,562,000","8,263,440"
8月13日,160.45,251.947,0,"1,725,140","2,704,140","-979,000","3,956,400","6,660,540"
8月14日,160.3,250.73,0.1,"1,325,936","2,709,936","-1,384,000","3,276,000","5,985,936"
8月15日,160.12,249.265,3.6,"1,168,636","2,712,636","-1,544,000","2,926,440","5,639,076"
8月16日,159.94,247.804,15.6,"1,580,300","2,715,300","-1,135,000","2,748,240","5,463,540"
8月17日,159.81,246.797,1.4,"1,509,284","2,722,284","-1,213,000","2,628,720","5,351,004"
8月18日,159.76,246.457,62,"5,394,780","2,721,780","2,673,000","4,828,320","7,550,100"
8月19日,160.22,250.2,21.5,"5,392,244","2,708,244","2,684,000","4,779,000","7,487,244"
8月20日,160.47,252.137,2.1,"3,600,592","2,702,592","898,000","4,345,200","7,047,792"
8月21日,160.49,252.266,2.7,"2,575,352","3,554,352","-979,000","4,035,600","7,589,952"
8月22日,160.06,248.704,0.1,"2,173,020","6,721,020","-4,548,000","3,371,400","10,092,420"
8月23日,159.74,246.204,8.9,"1,513,516","3,291,516","-1,778,000","2,928,600","6,220,116"
8月24日,159.59,245.019,35.3,"3,126,232","3,287,232","-161,000","15,589,800","18,877,032"
8月25日,159.71,245.962,10.7,"4,496,108","3,285,108","1,211,000","11,703,600","14,988,708"
8月26日,159.74,246.238,0,"2,802,484","3,287,484","-485,000","7,354,800","10,642,284"
8月27日,159.63,245.298,0,"1,996,700","3,287,700","-1,291,000","5,076,000","8,363,700"
8月28日,159.44,243.766,0,"1,605,008","3,295,008","-1,690,000","4,086,000","7,381,008"
8月29日,159.23,242.016,0.5,"1,295,372","3,300,372","-2,005,000","3,452,400","6,752,772"
8月30日,158.99,240.182,35.7,"2,350,516","3,309,516","-959,000","3,578,400","6,887,916"
8月31日,158.87,239.153,0.9,1642068,3316068,-1674000,3135240,6451308
9月1日,158.67,237.603,0.5,"1,172,004","1,490,004","-318,000","2,662,560","4,152,564"
9月2日,158.61,237.122,0,"935,840","1,491,840","-556,000","2,635,920","4,127,760"
9月3日,158.53,236.527,4.7,"777,012","1,491,012","-714,000","2,475,360","3,966,372"
9月4日,158.47,236.067,21.4,"1,331,796","1,490,796","-159,000","2,355,120","3,845,916"
9月5日,158.54,236.666,52.1,"3,155,628","1,487,628","1,668,000","2,586,240","4,073,868"
9月6日,158.98,240.233,6.5,"5,140,452","1,483,452","3,657,000","2,885,760","4,369,212"
9月7日,159.3,242.699,1.5,"2,764,700","1,478,700","1,286,000","2,739,600","4,218,300"
9月8日,159.43,243.802,23,"3,086,344","1,474,344","1,612,000","2,629,440","4,103,784"
9月9日,159.63,245.328,0.1,"2,282,208","1,475,208","807,000","2,609,280","4,084,488"
9月10日,159.68,245.732,0.4,"1,636,596","1,474,596","162,000","2,283,480","3,758,076"
9月11日,159.67,245.651,1.1,"1,232,812","1,474,812","-242,000","2,046,960","3,521,772"
9月12日,159.63,245.342,3,"1,071,388","1,475,388","-404,000","1,872,000","3,347,388"
9月13日,159.57,244.861,0.4,"912,188","1,477,188","-565,000","1,731,240","3,208,428"
9月14日,159.49,244.242,0.2,"832,260","1,477,260","-645,000","1,617,840","3,095,100"
9月15日,159.42,243.665,14.9,"993,288","1,476,288","-483,000","1,625,040","3,101,328"
9月16日,159.36,243.151,6.8,"886,432","1,449,432","-563,000","1,534,320","2,983,752"
9月17日,159.29,242.558,5.4,"818,348","1,461,348","-643,000","1,451,160","2,912,508"
9月18日,159.22,242.039,12.2,"990,904","1,472,904","-482,000","1,501,920","2,974,824"
9月19日,159.17,241.648,10.9,"1,151,616","1,472,616","-321,000","1,512,000","2,984,616"
9月20日,159.21,242.063,74.8,"4,288,560","1,474,560","2,814,000","2,375,280","3,849,840"
9月21日,160.35,251.401,33.9,"13,178,972","1,458,972","11,720,000","5,756,400","7,215,372"
9月22日,161.17,257.996,0,"4,744,804","1,446,804","3,298,000","3,070,440","4,517,244"
9月23日,161.42,259.975,0.2,"2,601,960","1,443,960","1,158,000","2,528,280","3,972,240"
9月24日,161.51,260.693,1.8,"1,858,896","1,444,896","414,000","2,202,120","3,647,016"
9月25日,161.52,260.845,0,"1,359,772","1,442,772","-83,000","1,838,160","3,280,932"
9月26日,161.5,260.655,7.9,"1,194,060","1,443,060","-249,000","1,757,520","3,200,580"
9月27日,161.59,261.436,63.1,"6,236,868","3,497,868","2,739,000","3,925,440","7,423,308"
9月28日,162.56,270.046,107.5,"25,061,268","6,590,268","18,471,000","5,662,800","12,253,068"
9月29日,164.71,287.846,38.4,"18,681,244","12,739,644","5,941,600","21,045,600","33,785,244"
9月30日,164.18,283.654,212,"31,732,484","26,876,484","4,856,000","29,016,000","55,892,484"
10月1日,167.5,312.457,34.3,"42,750,216","19,512,216","23,238,000","44,157,600","63,669,816"
10月2日,167.98,316.624,0,"6,947,036","6,678,036","269,000","15,271,200","21,949,236"
10月3日,167.81,315.031,0,"4,003,252","6,687,252","-2,684,000","9,000,000","15,687,252"
10月4日,167.44,311.676,0,"2,881,856","6,713,856","-3,832,000","7,210,800","13,924,656"
10月5日,166.98,307.572,2.4,"2,277,136","6,713,136","-4,436,000","5,218,200","11,931,336"
10月6日,166.47,303.062,3.1,"2,214,332","6,715,332","-4,501,000","4,291,200","11,006,532"
10月7日,165.93,298.337,0.4,"1,823,032","6,736,032","-4,913,000","3,468,600","10,204,632"
10月8日,165.36,293.357,9.5,"1,734,980","6,787,980","-5,053,000","3,130,920","9,918,900"
10月9日,164.79,288.4,5.3,"1,979,164","6,820,164","-4,841,000","3,142,800","9,962,964"
10月10日,164.2,283.324,0,"1,623,596","6,856,596","-5,233,000","2,853,720","9,710,316"
10月11日,163.85,280.324,0.1,"989,360","2,781,360","-1,792,000","2,703,600","5,484,960"
10月12日,163.63,278.502,0.2,"912,780","2,784,780","-1,872,000","2,486,880","5,271,660"
10月13日,163.41,276.617,0.6,"926,996","2,793,996","-1,867,000","2,336,400","5,130,396"
10月14日,163.19,274.702,3.1,"843,424","2,789,424","-1,946,000","2,174,400","4,963,824"
10月15日,162.96,272.769,4.4,"854,176","2,794,176","-1,940,000","2,091,600","4,885,776"
10月16日,162.76,271.086,7.6,"755,476","1,513,476","-758,000","1,965,600","3,479,076"
10月17日,162.66,270.304,0.7,"679,460","1,520,460","-841,000","1,860,480","3,380,940"
