日期,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
1月1日,168.2,318.524,0,"1,109,556","1,289,556","-180,000","2,475,360","3,764,916"
1月2日,168.18,318.419,3.8,"974,520","614,520","360,000","2,221,200","2,835,720"
1月3日,168.22,318.741,0.4,"817,460","458,460","359,000","2,328,120","2,786,580"
1月4日,168.23,318.887,16.1,"1,168,992","1,168,992",0,"2,098,080","3,267,072"
1月5日,168.3,319.45,20.7,"2,306,772","2,126,772","180,000","2,324,880","4,451,652"
1月6日,168.26,319.157,21.7,"3,969,216","3,789,216","180,000","2,793,600","6,582,816"
1月7日,168.25,319.071,27.2,"6,659,748","6,659,748",0,"3,279,960","9,939,708"
1月8日,168.29,319.416,22.8,"7,023,240","6,663,240","360,000","4,194,000","10,857,240"
1月9日,168.41,320.459,0,"4,575,376","3,134,376","1,441,000","3,826,800","6,961,176"
1月10日,168.3,319.379,1.7,"3,436,984","6,675,984","-3,239,000","2,973,600","9,649,584"
1月11日,167.91,315.945,26.2,"3,374,080","6,688,080","-3,314,000","2,946,960","9,635,040"
1月12日,167.79,314.886,1.8,"3,207,744","3,297,744","-90,000","3,072,600","6,370,344"
1月13日,167.54,312.564,0.1,"2,908,336","6,387,336","-3,479,000","2,961,720","9,349,056"
1月14日,167.39,311.293,0.1,"1,843,656","1,576,656","267,000","2,751,120","4,327,776"
1月15日,167.41,311.482,0.1,"1,403,156","1,581,156","-178,000","2,477,520","4,058,676"
1月16日,167.38,311.263,5.9,"1,104,452","1,015,452","89,000","2,316,240","3,331,692"
1月17日,167.4,311.36,8.9,"1,313,436","1,580,436","-267,000","2,484,000","4,064,436"
1月18日,167.36,311.063,0.1,"1,111,076","1,022,076","89,000","2,292,480","3,314,556"
1月19日,167.37,311.13,0.8,"1,018,368","1,018,368",0,"2,108,520","3,126,888"
1月20日,167.36,311.026,3,"910,344","1,177,344","-267,000","1,999,800","3,177,144"
1月21日,167.33,310.759,0,"823,504","1,179,504","-356,000","1,904,760","3,084,264"
1月22日,167.29,310.403,4.2,"944,032","1,300,032","-356,000","1,802,160","3,102,192"
1月23日,167.24,309.969,3.5,"927,484","1,460,484","-533,000","1,733,040","3,193,524"
1月24日,167.18,309.428,0.5,"838,304","1,460,304","-622,000","1,665,360","3,125,664"
1月25日,167.11,308.799,0,"839,204","1,461,204","-622,000","1,608,480","3,069,684"
1月26日,167.03,308.129,3.7,"752,068","1,462,068","-710,000","1,555,200","3,017,268"
1月27日,166.96,307.49,4.7,"873,488","1,582,488","-709,000","1,541,160","3,123,648"
1月28日,166.88,306.776,4.3,"966,240","1,587,240","-621,000","1,480,680","3,067,920"
1月29日,166.81,306.178,0,"782,996","1,578,996","-796,000","1,465,200","3,044,196"
1月30日,166.71,305.259,0.1,"707,352","1,592,352","-885,000","1,395,360","2,987,712"
1月31日,166.61,304.382,0,"726,412","1,874,412","-1,148,000","1,341,360","3,215,772"
2月1日,166.47,303.172,0,"781,760","1,751,760","-970,000","1,313,280","3,065,040"
2月2日,166.36,302.172,3,"609,424","1,754,424","-1,145,000","1,279,440","3,033,864"
2月3日,166.26,301.075,0.1,"611,432","1,755,432","-1,144,000","1,281,600","3,037,032"
2月4日,166.11,299.935,0.1,"650,496","1,880,496","-1,230,000","1,196,280","3,076,776"
2月5日,165.95,298.581,0.1,"565,000","1,881,000","-1,316,000","1,151,640","3,032,640"
2月6日,165.81,297.288,0,"573,112","1,886,112","-1,313,000","1,103,760","2,989,872"
2月7日,165.65,295.949,0.5,"602,408","2,175,408","-1,573,000","1,080,000","3,255,408"
2月8日,165.48,294.42,10.3,"637,264","1,770,264","-1,133,000","1,100,880","2,871,144"
2月9日,165.35,293.269,12.8,"677,300","1,896,300","-1,219,000","1,398,960","3,295,260"
2月10日,165.28,292.764,23.2,"2,281,152","1,324,152","957,000","1,590,120","2,914,272"
2月11日,165.52,294.901,29.2,"4,203,648","1,323,648","2,880,000","1,720,440","3,044,088"
2月12日,165.88,298.077,27.7,"4,503,000","468,000","4,035,000","2,005,560","2,473,560"
2月13日,166.53,303.874,28.3,"7,330,000",0,"7,330,000","2,780,280","2,780,280"
2月14日,167.15,309.206,0.3,"4,159,912","2,472,912","1,687,000","2,667,960","5,140,872"
2月15日,167.22,309.814,0.1,"2,047,144","891,144","1,156,000","2,082,960","2,974,104"
2月16日,167.33,310.829,0.4,"1,454,428","742,428","712,000","1,807,200","2,549,628"
2月17日,167.41,311.482,10.8,"1,523,784","899,784","624,000","1,817,280","2,717,064"
2月18日,167.45,311.872,0.1,"989,412","722,412","267,000","1,602,000","2,324,412"
2月19日,167.44,311.724,0,"1,027,456","1,740,456","-713,000","1,501,920","3,242,376"
2月20日,167.37,311.122,0.1,"939,708","1,740,708","-801,000","1,434,240","3,174,948"
2月21日,167.29,310.377,0.1,"737,708","1,182,708","-445,000","1,381,320","2,564,028"
2月22日,167.23,309.832,0.1,"780,136","2,024,136","-1,244,000","1,309,680","3,333,816"
2月23日,167.08,308.547,0.1,"767,848","1,744,848","-977,000","1,262,880","3,007,728"
2月24日,166.97,307.56,0.9,"629,812","1,870,812","-1,241,000","1,210,320","3,081,132"
2月25日,166.84,306.392,0.1,"705,668","1,591,668","-886,000","1,170,000","2,761,668"
2月26日,166.73,305.389,0.8,"618,496","2,033,496","-1,415,000","1,137,600","3,171,096"
2月27日,166.59,304.161,3,"621,856","1,592,856","-971,000","1,104,480","2,697,336"
2月28日,166.46,303.039,0.8,"641,896","1,876,896","-1,235,000","1,047,636","2,924,532"
3月1日,166.32,301.768,0.1,"540,644","1,597,644","-1,057,000","1,013,040","2,610,684"
3月2日,166.19,300.697,14.6,"737,892","1,880,892","-1,143,000","1,069,560","2,950,452"
3月3日,166.08,299.679,1.5,"708,372","1,761,372","-1,053,000","1,097,280","2,858,652"
3月4日,165.95,298.567,0.4,"656,788","1,885,788","-1,229,000","982,800","2,868,588"
3月5日,165.81,297.331,0.9,"574,084","1,887,084","-1,313,000","1,001,520","2,888,604"
3月6日,165.67,296.062,17.2,"754,252","1,890,252","-1,136,000","997,200","2,887,452"
3月7日,165.58,295.333,14.3,"1,088,544","914,544","174,000","1,410,120","2,324,664"
3月8日,165.6,295.523,4.9,"1,506,032","1,768,032","-262,000","1,216,440","2,984,472"
3月9日,165.55,295.108,2.4,"1,340,828","1,602,828","-262,000","1,140,840","2,743,668"
3月10日,165.52,294.777,5.6,"1,109,176","1,894,176","-785,000","1,147,320","3,041,496"
3月11日,165.44,294.148,0.5,"1,309,308","1,483,308","-174,000","1,180,080","2,663,388"
3月12日,165.38,293.57,0.9,"1,086,848","1,609,848","-523,000","1,108,440","2,718,288"
3月13日,165.33,293.106,0.2,"963,168","2,181,168","-1,218,000","1,080,360","3,261,528"
3月14日,165.2,291.974,0,"819,404","1,774,404","-955,000","1,013,040","2,787,444"
3月15日,165.1,291.146,0.1,"894,796","1,328,796","-434,000","975,600","2,304,396"
3月16日,164.96,289.895,0,"850,512","2,323,512","-1,473,000","955,080","3,278,592"
