日期,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
3月17日,164.81,288.629,0.2,"865,684","1,989,684","-1,124,000","925,920","2,915,604"
3月18日,164.65,287.219,1.2,"765,976","2,318,976","-1,553,000","921,600","3,240,576"
3月19日,164.49,285.836,0.1,"860,108","2,151,108","-1,291,000","891,360","3,042,468"
3月20日,164.33,284.449,0.4,"687,876","2,148,876","-1,461,000","857,880","3,006,756"
3月21日,164.16,283.076,7.8,"861,716","2,146,716","-1,285,000","872,280","3,018,996"
3月22日,164.01,281.727,12,"1,025,616","2,309,616","-1,284,000","1,116,000","3,425,616"
3月23日,163.91,280.868,0,"800,704","1,483,704","-683,000","1,278,720","2,762,424"
3月24日,163.87,280.587,11.7,"976,536","1,318,536","-342,000","1,329,480","2,648,016"
3月25日,163.79,279.89,0.1,"669,180","1,863,180","-1,194,000","1,229,400","3,092,580"
3月26日,163.67,278.824,0,"691,084","1,797,084","-1,106,000","1,119,960","2,917,044"
3月27日,163.54,277.714,0,"614,004","1,634,004","-1,020,000","1,055,520","2,689,524"
3月28日,163.42,276.677,0.1,"651,380","1,924,380","-1,273,000","1,019,880","2,944,260"
3月29日,163.26,275.366,0,"659,924","1,929,924","-1,270,000","977,040","2,906,964"
3月30日,163.1,273.962,8.8,"648,380","1,915,380","-1,267,000","936,360","2,851,740"
3月31日,162.96,272.825,1.4,"666,024","2,100,024","-1,434,000","956,880","3,056,904"
4月1日,162.79,271.374,0,"590,152","1,936,152","-1,346,000","876,240","2,812,392"
4月2日,162.63,269.989,0,"592,524","2,104,524","-1,512,000","857,160","2,961,684"
4月3日,162.44,268.44,0.1,"474,940","1,814,940","-1,340,000","835,920","2,650,860"
4月4日,162.28,267.121,1.3,"518,140","1,939,140","-1,421,000","803,520","2,742,660"
4月5日,162.11,265.665,0,"436,348","1,938,348","-1,502,000","786,600","2,724,948"
4月6日,161.92,264.123,0,"421,892","1,835,892","-1,414,000","752,760","2,588,652"
4月7日,161.75,262.65,0,"541,932","2,119,932","-1,578,000","734,400","2,854,332"
4月8日,161.56,261.077,5.9,"558,748","2,546,748","-1,988,000","738,720","3,285,468"
4月9日,161.32,259.152,6.7,"534,584","1,855,584","-1,321,000","759,960","2,615,544"
4月10日,161.18,257.947,2.7,"636,652","2,120,652","-1,484,000","751,680","2,872,332"
4月11日,160.96,256.173,1.9,"542,804","2,103,804","-1,561,000","758,520","2,862,324"
4月12日,160.81,254.862,0,"567,036","2,124,036","-1,557,000","720,720","2,844,756"
4月13日,160.57,252.989,2.3,"551,216","2,268,216","-1,717,000","717,120","2,985,336"
4月14日,160.41,251.613,6.6,"586,952","2,135,952","-1,549,000","732,600","2,868,552"
4月15日,160.2,249.946,2.5,"720,696","2,265,696","-1,545,000","761,040","3,026,736"
4月16日,160.03,248.537,0.2,"683,440","2,143,440","-1,460,000","720,720","2,864,160"
4月17日,159.84,246.963,1.6,"657,488","2,275,488","-1,618,000","698,040","2,973,528"
4月18日,159.65,245.443,0,"615,300","2,148,300","-1,533,000","674,280","2,822,580"
4月19日,159.45,243.833,0.4,"458,408","2,148,408","-1,690,000","653,760","2,802,168"
4月20日,159.23,242.103,0,"543,740","2,149,740","-1,606,000","648,000","2,797,740"
4月21日,159.03,240.432,15.6,"476,224","2,314,224","-1,838,000","648,000","2,962,224"
4月22日,158.94,239.866,22.6,"3,144,856","1,466,856","1,678,000","1,137,240","2,604,096"
4月23日,159.14,241.36,9.9,"2,116,196","2,036,196","80,000","1,148,760","3,184,956"
4月24日,159.09,241.003,1.9,"1,355,324","1,755,324","-400,000","958,320","2,713,644"
4月25日,159.02,240.385,1.8,"1,085,404","2,044,404","-959,000","851,040","2,895,444"
4月26日,158.88,239.293,1.1,"822,712","2,177,712","-1,355,000","815,760","2,993,472"
4月27日,158.69,237.765,2.1,"853,672","2,046,672","-1,193,000","833,760","2,880,432"
4月28日,158.56,236.758,14.7,"897,552","1,770,552","-873,000","976,320","2,746,872"
4月29日,158.54,236.692,18.8,"1,588,000",0,"1,588,000","1,927,440","1,927,440"
4月30日,158.69,237.782,0.2,"1,291,104","1,768,104","-477,000","1,446,120","3,214,224"
5月1日,158.62,237.232,0,"1,051,724","1,607,724","-556,000","1,230,840","2,838,564"
5月2日,158.54,236.537,0,"949,048","2,058,048","-1,109,000","1,082,880","3,140,928"
5月3日,158.38,235.344,4.6,"740,576","1,611,576","-871,000","1,010,160","2,621,736"
5月4日,158.26,234.375,1.5,"796,408","2,058,408","-1,262,000","930,240","2,988,648"
5月5日,158.1,233.109,1.6,"755,348","2,172,348","-1,417,000","888,480","3,060,828"
5月6日,157.91,231.625,0,"564,660","1,896,660","-1,332,000","851,760","2,748,420"
5月7日,157.75,230.326,0,"646,008","2,053,008","-1,407,000","818,640","2,871,648"
5月8日,157.56,228.848,0.3,"551,100","2,186,100","-1,635,000","792,720","2,978,820"
5月9日,157.34,227.12,0,"564,852","2,037,852","-1,473,000","763,560","2,801,412"
5月10日,157.16,225.712,0,"535,488","2,158,488","-1,623,000","743,760","2,902,248"
5月11日,156.94,224.043,0,"468,240","2,235,240","-1,767,000","718,560","2,953,800"
5月12日,156.67,221.975,0,"466,972","2,376,972","-1,910,000","699,984","3,076,956"
5月13日,156.45,220.315,0,"518,368","2,494,368","-1,976,000","699,840","3,194,208"
5月14日,156.19,218.309,0,"421,708","2,235,708","-1,814,000","699,840","2,935,548"
5月15日,155.95,216.516,0,"511,004","2,390,004","-1,879,000","671,040","3,061,044"
5月16日,155.69,214.577,0,"448,228","2,391,228","-1,943,000","660,960","3,052,188"
5月17日,155.43,212.617,0,"405,512","2,485,512","-2,080,000","633,600","3,119,112"
5月18日,155.17,210.673,10,"694,392","2,245,392","-1,551,000","727,200","2,972,592"
5月19日,154.95,209.052,6.9,"417,396","1,818,396","-1,401,000","873,720","2,692,116"
5月20日,154.76,207.656,0,"490,248","2,398,248","-1,908,000","822,600","3,220,848"
5月21日,154.5,205.761,0.6,"516,852","2,415,852","-1,899,000","667,440","3,083,292"
5月22日,154.23,203.764,0,"394,172","2,429,172","-2,035,000","650,880","3,080,052"
5月23日,153.96,201.797,7.9,"483,660","2,148,660","-1,665,000","645,120","2,793,780"
5月24日,153.93,201.836,93.1,"4,502,000",0,"4,502,000","1,472,040","1,472,040"
5月25日,154.55,206.188,6.7,"2,484,560","1,240,560","1,244,000","1,315,080","2,555,640"
5月26日,154.6,206.536,0.2,"1,348,600","1,641,600","-293,000","1,110,960","2,752,560"
5月27日,154.52,205.916,0,"967,752","2,137,752","-1,170,000","918,720","3,056,472"
5月28日,154.35,204.656,2.3,"886,016","2,270,016","-1,384,000","864,720","3,134,736"
5月29日,154.15,203.209,1.5,"672,056","1,978,056","-1,306,000","853,920","2,831,976"
5月30日,154.01,202.28,50.6,"1,886,208","1,088,208","798,000","2,907,000","3,995,208"
5月31日,154.4,205.264,46.9,"6,000,000",0,"6,000,000","5,947,200","5,947,200"
6月1日,155.38,212.402,26.5,"6,616,000",0,"6,616,000","5,515,200","5,515,200"
6月2日,156.23,218.931,58.8,"8,667,000",0,"8,667,000","6,746,400","6,746,400"
6月3日,157.4,227.725,0.1,"5,145,250",0,"5,145,250","6,224,400","6,224,400"
6月4日,158.55,237.578,158.4,"26,109,000",0,"26,109,000","13,334,400","13,334,400"
6月5日,161.91,264.338,43.3,"14,725,000",0,"14,725,000","11,430,000","11,430,000"
6月6日,163.29,275.818,5.9,"8,385,000",0,"8,385,000","8,347,680","8,347,680"
6月7日,163.96,281.439,0.5,"3,933,000",0,"3,933,000","6,789,600","6,789,600"
6月8日,164.33,284.564,0.4,"2,577,000",0,"2,577,000","5,292,000","5,292,000"
6月9日,164.58,286.719,0.1,"1,810,000",0,"1,810,000","5,148,000","5,148,000"
6月10日,164.78,288.478,10.4,"1,989,000",0,"1,989,000","5,742,000","5,742,000"
6月11日,164.99,290.206,0.2,"1,300,000",0,"1,300,000","4,932,000","4,932,000"
6月12日,165.09,291.034,6.7,"1,400,764","1,486,764","-86,000","5,918,400","7,405,164"
6月13日,165.09,291.041,1.7,"1,400,700","1,487,700","-87,000","6,829,200","8,316,900"
6月14日,165.07,290.856,0,"1,228,060","1,488,060","-260,000","4,305,600","5,793,660"
6月15日,165.02,290.415,0,"882,644","1,489,644","-607,000","3,432,600","4,922,244"
6月16日,164.95,289.82,0,"885,588","1,491,588","-606,000","2,866,320","4,357,908"
6月17日,164.87,289.163,0,"710,752","1,489,752","-779,000","2,643,840","4,133,592"
6月18日,164.77,288.323,0,"716,784","1,493,784","-777,000","2,412,000","3,905,784"
6月19日,164.68,287.47,0,"633,052","1,496,052","-863,000","2,209,680","3,705,732"
6月20日,164.58,286.608,5.4,"548,376","1,496,376","-948,000","2,101,680","3,598,056"
6月21日,164.47,285.736,1.5,"635,800","1,495,800","-860,000","1,895,760","3,391,560"
6月22日,164.38,284.886,32.9,"1,272,468","2,475,468","-1,203,000","2,036,880","4,512,348"
6月23日,164.28,284.091,32.1,"1,926,924","1,497,924","429,000","3,848,760","5,346,684"
6月24日,164.44,285.488,14.8,"4,021,236","2,473,236","1,548,000","5,630,400","8,103,636"
6月25日,164.46,285.639,3.5,"1,924,504","1,494,504","430,000","4,003,200","5,497,704"
6月26日,164.48,285.804,0,"1,408,324","1,494,324","-86,000","3,090,600","4,584,924"
6月27日,164.46,285.606,10.6,"1,321,892","1,493,892","-172,000","2,912,400","4,406,292"
6月28日,164.44,285.438,0.2,"1,237,044","1,495,044","-258,000","2,795,040","4,290,084"
6月29日,164.39,285.015,0,"978,828","1,494,828","-516,000","2,487,600","3,982,428"
6月30日,164.32,284.428,0,"809,700","1,496,700","-687,000","2,241,360","3,738,060"
7月1日,164.24,283.712,0,"727,724","1,499,724","-772,000","2,055,600","3,555,324"
7月2日,164.15,282.965,3.5,"812,960","1,497,960","-685,000","2,028,960","3,526,920"
7月3日,164.06,282.205,0,"642,248","1,498,248","-856,000","1,807,200","3,305,448"
7月4日,163.96,281.321,0.5,"646,552","1,500,552","-854,000","1,679,040","3,179,592"
7月5日,163.85,280.399,3,"476,056","1,501,056","-1,025,000","1,566,000","3,067,056"
7月6日,163.74,279.46,5.5,"649,488","1,501,488","-852,000","1,547,280","3,048,768"
7月7日,163.65,278.64,5.4,"472,352","1,493,352","-1,021,000","1,440,360","2,933,712"
7月8日,163.52,277.534,0,"569,512","1,504,512","-935,000","1,383,120","2,887,632"
7月9日,163.39,276.475,0,"523,688","1,796,688","-1,273,000","1,331,280","3,127,968"
7月10日,163.24,275.192,0,"581,124","1,766,124","-1,185,000","1,273,680","3,039,804"
7月11日,163.1,273.983,0,"448,396","1,800,396","-1,352,000","1,190,160","2,990,556"
7月12日,162.94,272.642,0,"450,000","1,800,000","-1,350,000","1,159,200","2,959,200"
7月13日,162.78,271.276,0,"412,648","1,926,648","-1,514,000","1,081,440","3,008,088"
7月14日,162.61,269.79,0,"416,628","1,928,628","-1,512,000","974,160","2,902,788"
7月15日,162.42,268.241,0,"409,356","2,083,356","-1,674,000","869,040","2,952,396"
7月16日,162.22,266.588,1.2,"428,628","2,099,628","-1,671,000","810,720","2,910,348"
7月17日,162.03,264.977,0.2,"433,592","2,099,592","-1,666,000","847,440","2,947,032"
7月18日,161.82,263.201,0,"352,984","2,346,984","-1,994,000","877,680","3,224,664"
7月19日,161.27,258.641,6.4,"880,432","6,579,432","-5,699,000","831,600","7,411,032"
7月20日,160.58,252.963,4.1,"984,284","6,628,284","-5,644,000","835,200","7,463,484"
7月21日,159.89,247.342,59.7,"1,588,244","6,776,244","-5,188,000","1,013,760","7,790,004"
7月22日,159.44,243.677,88.2,"8,409,284","13,873,284","-5,464,000","6,950,880","20,824,164"
7月23日,158.58,237.131,109.9,"20,353,896","18,832,896","1,521,000","21,006,000","39,838,896"
7月24日,161.96,265.395,168.1,"48,091,640","5,597,640","42,494,000","54,057,600","59,655,240"
7月25日,164.78,288.565,0,"8,029,000",0,"8,029,000","20,091,600","20,091,600"
7月26日,165.35,293.407,0.6,"3,135,000",0,"3,135,000","9,633,600","9,633,600"
7月27日,165.57,295.257,0.1,"2,337,424","2,861,424","-524,000","6,904,800","9,766,224"
7月28日,165.47,294.329,0,"1,597,568","2,033,568","-436,000","5,857,200","7,890,768"
7月29日,165.44,294.093,13,"1,570,092","1,483,092","87,000","5,803,200","7,286,292"
7月30日,165.44,294.122,0.6,"1,124,584","1,036,584","88,000","4,996,800","6,033,384"
7月31日,165.55,295.174,64.3,"3,584,000",0,"3,584,000","8,154,000","8,154,000"
8月1日,166.01,299.192,0.8,"2,898,000",0,"2,898,000","7,221,600","7,221,600"
8月2日,166.27,301.464,11.9,"2,113,000",0,"2,113,000","6,181,200","6,181,200"
8月3日,166.56,304.092,55.7,"5,562,932","1,318,932","4,244,000","10,087,200","11,406,132"
8月4日,166.95,307.423,12.8,"7,180,860","6,736,860","444,000","12,916,800","19,653,660"
8月5日,166.82,306.226,1.8,"4,443,832","6,746,832","-2,303,000","10,364,400","17,111,232"
8月6日,166.48,303.202,7.3,"3,322,904","6,764,904","-3,442,000","7,084,800","13,849,704"
8月7日,166.32,302.001,86.5,"10,782,856","6,632,856","4,150,000","12,589,200","19,222,056"
8月8日,166.96,307.579,14.1,"9,395,312","6,735,312","2,660,000","12,369,600","19,104,912"
8月9日,166.97,307.556,5.9,"4,961,716","6,736,716","-1,775,000","8,071,200","14,807,916"
8月10日,166.69,305.109,5.2,"4,166,360","6,732,360","-2,566,000","9,118,800","15,851,160"
8月11日,166.65,304.784,7.9,"2,862,748","2,420,748","442,000","9,745,200","12,165,948"
8月12日,166.68,304.983,4.5,"2,351,396","2,439,396","-88,000","7,570,800","10,010,196"
8月13日,166.59,304.169,17.6,"2,644,472","3,263,472","-619,000","7,099,200","10,362,672"
8月14日,166.6,304.242,1.2,"2,087,260","2,440,260","-353,000","5,914,800","8,355,060"
8月15日,166.46,303.025,1.8,"1,699,764","3,286,764","-1,587,000","4,914,000","8,200,764"
8月16日,166.26,301.277,4.8,"1,618,652","3,290,652","-1,672,000","4,741,200","8,031,852"
8月17日,166.08,299.639,28.1,"1,893,032","3,298,032","-1,405,000","5,896,800","9,194,832"
8月18日,165.95,298.658,21.6,"4,676,980","4,150,980","526,000","8,384,400","12,535,380"
8月19日,166.05,299.5,15.6,"4,886,328","4,271,328","615,000","10,234,800","14,506,128"
8月20日,166.08,299.697,1,"3,224,576","5,567,832","-2,343,256","8,344,800","13,912,632"
8月21日,165.91,298.238,0,"2,211,512","4,141,512","-1,930,000","6,058,800","10,200,312"
8月22日,165.66,296.025,0,"1,767,840","4,128,840","-2,361,000","4,820,400","8,949,240"
8月23日,165.52,294.809,0,"1,310,940","2,444,940","-1,134,000","3,798,000","6,242,940"
8月24日,165.38,293.603,5.5,"1,102,004","1,886,004","-784,000","4,032,000","5,918,004"
8月25日,165.3,292.88,10.7,"959,364","1,481,364","-522,000","3,582,000","5,063,364"
8月26日,165.24,292.377,1.4,"873,220","1,481,220","-608,000","3,256,200","4,737,420"
8月27日,165.16,291.703,0,"789,064","1,484,064","-695,000","2,800,440","4,284,504"
8月28日,165.08,290.94,0,"704,216","1,485,216","-781,000","2,714,760","4,199,976"
8月29日,164.98,290.116,1.9,"620,440","1,486,440","-866,000","2,504,160","3,990,600"
8月30日,164.89,289.343,2.1,"571,136","917,136","-346,000","2,301,840","3,218,976"
8月31日,164.86,289.044,0.4,"495,244","755,244","-260,000","2,192,760","2,948,004"
9月1日,164.82,288.748,0,"407,552","753,552","-346,000","2,030,040","2,783,592"
9月2日,164.78,288.417,0,"410,712","755,712","-345,000","1,841,760","2,597,472"
9月3日,164.74,288.053,1.6,"522,084","1,041,084","-519,000","1,780,560","2,821,644"
9月4日,164.68,287.546,1.9,"573,756","918,756","-345,000","1,700,640","2,619,396"
9月5日,164.63,287.125,0.9,"441,000","1,044,000","-603,000","1,584,000","2,628,000"
9月6日,164.56,286.45,1.5,"427,516","1,203,516","-776,000","1,618,200","2,821,716"
9月7日,164.47,285.707,0,"432,324","1,206,324","-774,000","1,537,920","2,744,244"
9月8日,164.36,284.789,0,"387,432","1,332,432","-945,000","1,512,000","2,844,432"
9月9日,164.24,283.723,4.8,"522,296","2,494,296","-1,972,000","1,406,160","3,900,456"
9月10日,163.96,281.278,4.8,"584,484","3,062,484","-2,478,000","1,368,000","4,430,484"
9月11日,163.58,278.058,23.2,"995,028","4,229,028","-3,234,000","1,441,440","5,670,468"
9月12日,163.64,279.023,169.9,"18,827,944","6,922,944","11,905,000","15,025,320","21,948,264"
9月13日,165.14,291.596,0,"8,484,876","2,841,876","5,643,000","10,441,080","13,282,956"
9月14日,165.58,295.373,0,"2,776,852","768,852","2,008,000","4,642,200","5,411,052"
9月15日,165.72,296.587,0,"1,737,820","1,475,820","262,000","3,243,600","4,719,420"
9月16日,165.73,296.623,2.5,"1,388,928","1,475,928","-87,000","2,882,160","4,358,088"
9月17日,165.71,296.492,16.1,"1,476,900","1,476,900",0,"2,763,360","4,240,260"
9月18日,165.7,296.361,0.2,"1,040,368","1,477,368","-437,000","2,491,200","3,968,568"
9月19日,165.64,295.868,0,"954,096","1,479,096","-525,000","2,348,640","3,827,736"
9月20日,165.57,295.22,0,"780,232","1,478,232","-698,000","2,135,880","3,614,112"
9月21日,165.5,294.606,10.8,"1,042,772","1,478,772","-436,000","2,243,160","3,721,932"
9月22日,165.45,294.195,2,"1,044,428","1,480,428","-436,000","2,379,600","3,860,028"
9月23日,165.39,293.632,0.2,"696,500","1,480,500","-784,000","2,018,160","3,498,660"
9月24日,165.3,292.859,14.5,"786,516","1,482,516","-696,000","1,890,000","3,372,516"
9月25日,165.26,292.561,2.4,"1,396,632","1,483,632","-87,000","1,844,640","3,328,272"
9月26日,165.22,292.163,0.7,"876,460","1,484,460","-608,000","1,675,440","3,159,900"
9月27日,165.14,291.486,0,"702,632","1,483,632","-781,000","1,589,760","3,073,392"
9月28日,165.05,290.686,0,"705,720","1,485,720","-780,000","1,507,680","2,993,400"
9月29日,164.95,289.805,0,"532,144","1,485,144","-953,000","1,452,600","2,937,744"
9月30日,164.84,288.893,0,"535,512","1,486,512","-951,000","1,383,120","2,869,632"
10月1日,164.72,287.83,0.8,"542,732","1,491,732","-949,000","1,340,640","2,832,372"
10月2日,164.61,286.877,0,"542,364","1,490,364","-948,000","1,313,280","2,803,644"
10月3日,164.49,285.847,0,"457,940","1,490,940","-1,033,000","1,244,880","2,735,820"
10月4日,164.36,284.757,3.9,"491,668","1,780,668","-1,289,000","1,212,480","2,993,148"
10月5日,164.22,283.548,12.6,"667,784","1,781,784","-1,114,000","1,373,040","3,154,824"
10月6日,164.09,282.458,18,"845,580","1,787,580","-942,000","1,271,160","3,058,740"
10月7日,163.99,281.552,4.1,"679,136","1,790,136","-1,111,000","1,165,680","2,955,816"
10月8日,163.86,280.445,1.4,"717,032","1,912,032","-1,195,000","1,106,640","3,018,672"
10月9日,163.72,279.265,8.1,"808,208","1,916,208","-1,108,000","1,119,600","3,035,808"
10月10日,163.6,278.267,9.2,"944,168","1,794,168","-850,000","1,078,560","2,872,728"
10月11日,163.87,280.814,142.7,"11,561,292","2,489,292","9,072,000","10,176,480","12,665,772"
10月12日,165.89,298.227,72.8,"23,197,504","6,795,504","16,402,000","46,656,000","53,451,504"
10月13日,166.83,306.581,74.7,"15,702,348","6,744,348","8,958,000","38,588,400","45,332,748"
10月14日,167.93,316.271,15.1,"12,862,060","6,690,060","6,172,000","16,275,600","22,965,660"
10月15日,168.13,317.918,0.9,"5,862,980","6,670,980","-808,000","9,385,200","16,056,180"
10月16日,167.96,316.614,106,"9,635,100","6,938,100","2,697,000","7,974,000","14,912,100"
10月17日,168.98,325.63,42.9,"20,549,920","14,857,920","5,692,000","16,509,600","31,367,520"
10月18日,168.3,319.335,1.4,"10,485,600","20,397,600","-9,912,000","9,651,600","30,049,200"
10月19日,167.58,312.922,0.1,"5,135,664","10,757,664","-5,622,000","6,566,400","17,324,064"
10月20日,166.9,306.841,0.8,"3,513,988","9,101,988","-5,588,000","4,928,400","14,030,388"
10月21日,166.39,302.357,12.9,"2,716,024","6,771,024","-4,055,000","4,208,400","10,979,424"
10月22日,166,299.061,40.5,"5,588,712","6,731,712","-1,143,000","5,007,600","11,739,312"
10月23日,166.31,301.802,15.5,"5,792,900","2,448,900","3,344,000","6,494,400","8,943,300"
